simTime	delay_avg(ms)	delay_variance(ms)
200	24.425303010356235	0.0199272763460525
200.5	23.428906977301885	0.02834327765842749
201.0	23.36187736414844	0.020290422023313298
201.5	24.77139213412168	0.04286343468632043
202.0	25.612934839189748	0.028015692609893266
202.5	23.20974477754028	0.010164631112877867
203.0	24.039629491137124	0.016814981457784005
203.5	24.55307789961371	0.039752045377215425
204.0	23.650708149677623	0.03613438058128951
204.5	22.474582309502686	0.021041314585765854
205.0	24.959483136887386	0.03740157266100392
205.5	23.424456871851856	0.024946291424665964
206.0	24.800376430337646	0.030335822147793977
206.5	24.444175249671826	0.037571877359146126
207.0	23.65265017456097	0.035210292929021045
207.5	24.7751246941172	0.06497443800525152
208.0	24.398332035368664	0.02152729836514763
208.5	24.543386258876463	0.03868250556565485
209.0	24.3163117274909	0.01939298498719869
209.5	23.99431775306404	0.029165776208243857
