simTime	delay_avg(ms)	delay_variance(ms)
200	1.5149282644557616	0.0009761951617605552
200.5	1.4401375096289704	0.0008888691191471622
201.0	1.4621291128063836	0.0009411085663705398
201.5	1.6344986840385436	0.0010883291724570383
202.0	1.5639928290826315	0.0009541017647977934
202.5	1.3901749111299624	0.000868925295672921
203.0	1.474044489344435	0.0009315757912554023
203.5	1.482977112910634	0.0009619398250825672
204.0	1.4711365993003542	0.001017013762384334
204.5	1.4422460417741993	0.0008478094471467219
205.0	1.674347896999014	0.0010607244045953033
205.5	1.3997093022574656	0.0008691721024837491
206.0	1.5448728897885882	0.0009556283499039932
206.5	1.528924556443473	0.000932900965230044
207.0	1.5010685804033403	0.0008922289818019811
207.5	1.4985678334006538	0.0009132546062637898
208.0	1.4589875470168399	0.0008527810155628707
208.5	1.439582152061784	0.0008679464254534553
209.0	1.3491966786497878	0.0008572827315671357
209.5	1.5112502258093723	0.0008809878009086819
